"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"J2X2MM";"04C";"J4";"Jumper switch 2 x 2.5 mm";"";
"1";"";"VG96P";"VG96P";"J5";"PCB EUROCARD, 96-pin type C/ABC, 2.54 mm";"";
"2";"";"WE-CBF_1812(HC)";"WE-CBF_1812(W=7.3)";"L1, L2";"WE-CBF SMD EMI Suppression Ferrite Bead";"";
"4";"1-227161-0";"1-227161-0";"AMP_227161";"X1, X2, X3, X4";"JACK,  RIGHT ANGLE, 50 OHM, PCB, BNC";"";
"2";"10";"R-US_R0603";"R0603";"R11, R12";"RESISTOR, American symbol";"";
"23";"100nF";"C-USC0603";"C0603";"C11, C14, C15, C17, C19, C20, C21, C23, C25, C26, C28, C33, C45, C46, C49, C69, C70, C71, C72, C73, C74, C75, C80";"CAPACITOR, American symbol";"";
"2";"100pF";"C-USC0603";"C0603";"C1, C2";"CAPACITOR, American symbol";"";
"2";"100pF";"C-USC1206";"C1206";"C9, C10";"CAPACITOR, American symbol";"";
"7";"10k";"R-US_R0603";"R0603";"R1, R2, R5, R6, R7, R8, R41";"RESISTOR, American symbol";"";
"7";"10nF";"C-USC0603";"C0603";"C27, C32, C48, C63, C64, C65, C78";"CAPACITOR, American symbol";"";
"4";"10uF";"C-USC0603";"C0603";"C16, C22, C35, C36";"CAPACITOR, American symbol";"";
"2";"10uF";"C-USC0805";"C0805";"C18, C24";"CAPACITOR, American symbol";"";
"20";"10uF";"C-USC1206";"C1206";"C47, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C66, C67, C68, C76, C77, C79";"CAPACITOR, American symbol";"";
"18";"1k";"R-US_R0603";"R0603";"R3, R4, R9, R10, R13, R14, R19, R20, R21, R22, R23, R24, R25, R26, R35, R36, R37, R38";"RESISTOR, American symbol";"";
"4";"1uF";"C-USC1206";"C1206";"C3, C4, C5, C6";"CAPACITOR, American symbol";"";
"2";"3.3nF";"C-USC1206";"C1206";"C38, C41";"CAPACITOR, American symbol";"";
"2";"33";"R-US_R0603";"R0603";"R39, R40";"RESISTOR, American symbol";"";
"4";"333";"R-US_R0603";"R0603";"R27, R28, R29, R30";"RESISTOR, American symbol";"";
"2";"33pF";"C-USC1206";"C1206";"C12, C13";"CAPACITOR, American symbol";"";
"4";"35.7";"R-US_R0603";"R0603";"R31, R32, R33, R34";"RESISTOR, American symbol";"";
"2";"4.02k";"R-US_R0603";"R0603";"R15, R16";"RESISTOR, American symbol";"";
"2";"4.7uF";"C-USC0603";"C0603";"C29, C34";"CAPACITOR, American symbol";"";
"2";"47uF";"C-USC1210";"C1210";"C43, C44";"CAPACITOR, American symbol";"";
"4";"6.8nF";"C-USC1206";"C1206";"C37, C39, C40, C42";"CAPACITOR, American symbol";"";
"3";"87831-1420";"87831-1420";"CONN_87831-1420_MOL";"J1, J2, J3";"";"";
"1";"88.7K";"R-US_R0603";"R0603";"R42";"RESISTOR, American symbol";"";
"2";"LT1012S8PBF";"LT1012S8PBF";"SO-8_S_LIT";"U2, U3";"";"";
"2";"LT1360CS8TRPBFSO-8_S_LIT-M";"LT1360CS8TRPBFSO-8_S_LIT-M";"SO-8_S_LIT-M";"U8, U9";"";"";
"1";"LT1761ES5-2.5_TRMPBFSOT-5_S_LIT-M";"LT1761ES5-2.5_TRMPBFSOT-5_S_LIT-M";"SOT-5_S_LIT-M";"U22";"";"";
"1";"LT1761ES5-3.3PBF";"LT1761ES5-3.3PBF";"SOT-5_S_LIT";"U16";"";"";
"1";"LT1761ES5-5TRMPBFSOT-5_S_LIT-M";"LT1761ES5-5TRMPBFSOT-5_S_LIT-M";"SOT-5_S_LIT-M";"U18";"";"";
"1";"LT1761ES5-BYPPBFSOT-5_S_LIT-M";"LT1761ES5-BYPPBFSOT-5_S_LIT-M";"SOT-5_S_LIT-M";"U20";"";"";
"1";"LT1964ES5-5TRMPBF";"LT1964ES5-5TRMPBF";"SOT-5_S_LIT";"U19";"";"";
"2";"LTC2054CS5";"LTC2054CS5";"SOT-5_S_LIT";"U4, U5";"";"";
"2";"LTC2380CMS-16PBFMSOP-16_MS_LIT-M";"LTC2380CMS-16PBFMSOP-16_MS_LIT-M";"MSOP-16_MS_LIT-M";"U14, U15";"";"";
"1";"LTC2758ACLXPBF";"LTC2758ACLXPBF";"LQFP-48_LX_LIT";"U1";"";"";
"1";"LTC6244HVIDDPBFDFN-8_DD_LIT-M";"LTC6244HVIDDPBFDFN-8_DD_LIT-M";"DFN-8_DD_LIT-M";"U6";"";"";
"2";"LTC6362CMS8PBFMSOP-8_MS_LIT-M";"LTC6362CMS8PBFMSOP-8_MS_LIT-M";"MSOP-8_MS_LIT-M";"U12, U13";"";"";
"2";"LTC6655CHMS8-5PBFMSOP-8_MS_LIT-M";"LTC6655CHMS8-5PBFMSOP-8_MS_LIT-M";"MSOP-8_MS_LIT-M";"U17, U21";"";"";
"2";"MAX14431FASE+21-0041_S16+1_MXM-M";"MAX14431FASE+21-0041_S16+1_MXM-M";"21-0041_S16+1_MXM-M";"U10, U11";"";"";
"1";"MAX14431SASE+21-0041_S16+1_MXM-M";"MAX14431SASE+21-0041_S16+1_MXM-M";"21-0041_S16+1_MXM-M";"U7";"";"";
"2";"OPT";"C-USC0603";"C0603";"C30, C31";"CAPACITOR, American symbol";"";
"2";"OPT";"R-US_R0603";"R0603";"R17, R18";"RESISTOR, American symbol";"";
"2";"opt";"C-USC1206";"C1206";"C7, C8";"CAPACITOR, American symbol";"";
